Product ID,Product Name,Category 1,Category 2,Category 3,Category 4,Category 5,Discounted Price,Orignal Price,Discount,User Rating,Number Of Rating
B07JW9H4J1,Wayona Nylon Braided USB to Lightning Fast Charging and Data ,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,399,"1,099",0.64,4.2,24269
B098NS6PVG,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type ,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,349,0.43,4,43994
B096MSW6CT,Sounce Fast Phone Charging Cable & Data Sync USB Cable Compat,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,"1,899",0.9,3.9,7928
B08HDJ86NZ,boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,329,699,0.53,4.2,94363
B08CF3B7N1,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable wi,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,154,399,0.61,4.2,16905
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Ma",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,149,"1,000",0.85,3.9,24871
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,176.63,499,0.65,4.1,15188
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,229,299,0.23,4.3,30411
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Net",Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,,499,999,0.5,4.2,179691
B082LZGK39,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,299,0.33,4,43994
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,154,339,0.55,4.3,13391
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cabl,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,299,799,0.63,4.2,94363
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18G",Electronics,"HomeTheater,TV&Video",Accessories,Cables,HDMICables,219,700,0.69,4.4,426973
B085DTN6R2,Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M C,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,350,899,0.61,4.2,2262
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,159,399,0.6,4.1,4768
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,349,399,0.13,4.4,18757
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV ,Electronics,"HomeTheater,TV&Video",Televisions,SmartTelevisions,,"13,999","24,999",0.44,4.2,32840
B082LSVT4B,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type ,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,249,399,0.38,4,43994
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rap",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,499,0.6,4.1,13045
